company_name,profile_url,company_web_site_url,location,tags,short_description,founding_date,founders,employee_range,emails,phones,description
Iconoffices,https://e27.co/iconoffices,http://iconoffices.co.uk/virtual-offices.php,United Kingdom,,Icon Offices provides luxury serviced offices in the heart of East London / Essex., , , , , , 
Li Tong Group,https://e27.co/li-tong-group,http://www.litong.com/,Hong Kong,"[[""Hardware"",""Agency & Consulting""]]","Li Tong Group (LTG) is a valuable partner and service provider to its clients in the Technology, Electronics and Telecom (TET) sector.", , , , , , 
Percipient,https://e27.co/percipient,http://www.percipientcx.com/,Singapore,"[[""Big Data""]]","Percipient enables organisations to put data at the heart of all their decisions and drive scalable, efficient and cost ­effective growth by taking advantage of big data technologies.", , , , , , 
Nubefy,https://e27.co/nubefy,http://www.nubefy.com/,Singapore,"[[""Software as a Service"",""Agency & Consulting"",""Information & Communications Technology""]]",Nubefy is a cloud services management company that focuses on freeing customers from the dependency of single providers to cloud computing. , , , , , , 
South India Highlights,https://e27.co/south-india-highlights,http://www.southindiahighlights.com/,India,,"South India Highlights is a sister concern of Travelogy India Pvt. Ltd., that provides impeccable services for inbound travel in South Indian region.", , , , , , 
Besant techno,https://e27.co/besant-techno,https://www.besanttechnologies.com/,India,,, , , , , , 
LadoOsHadoO ,https://e27.co/ladooshadoo,http://ladooshadoo.com/,India,"[[""Consumer"",""E-commerce"",""Food & Beverage"",""Logistics\/Supply Chain"",""Manufacturing"",""Information & Communications Technology""]]",Laddoshaddo.com is new online store for fulfill your all desserts and chocolates needs at your doorstep, , , , , , 
Werthstein,https://e27.co/werthstein,https://www.werthstein.com/,Germany,,The informed way to invest - Wealth Management for the digital age. Werthstein means professional digital wealth management., , , , , , 
Futr,https://e27.co/futr,https://www.getfutrapp.com/,Australia,"[[""Software as a Service""]]",Send messages. Keep in touch with family and friends. Send messages immediately or queue them up with their scheduler., , , , , , 
PT.ConocoPhillips,https://e27.co/pt-conocophillips,http://carirconocophillips.blogspot.co.id,Indonesia,"[[""Energy""]]","Lowongan Kerja Terbaru PT ConocoPhillips Indonesia Inc. Ltd

Bagi Anda yang tertarik dengan lowongan kerja PT ConocoPhillips Indonesia Inc. 
Ltd lulusan SMA, SMK,DII,DIII, S1, S2, S3 terbaru untuk penempatan di seluruh 
Indonesia.", , , , , , 
The Golden Concepts,https://e27.co/the-golden-concepts,https://www.thegoldenconcepts.com/,Singapore,"[[""E-commerce""]]",The Golden Concepts is an e-commerce store that curates eldercare products to enable ageing well., , , , , , 
Legal IP Media,https://e27.co/legal-ip-media,http://www.lipmedia.co/,Singapore,"[[""Media""]]",Legal IP Media (LIPMedia.co) is a digital publication revolving around Intellectual Property focused in South East Asia., , , , , , 
Carpello,https://e27.co/carpello,https://www.facebook.com/carpellobiz/,Malaysia,,Carpello is a Fashion Brand which provides manufacturing service for clothing (minimum 10 pieces) & selling in-house limited edition apparel products., , , , , , 
Amicus Shopping Assistant,https://e27.co/amicus-shopping-assistant,http://amicshop.com/,India,"[[""Consumer"",""Big Data"",""Agency & Consulting"",""Software as a Service"",""Information & Communications Technology""]]","Amicus Technologies™ is a data analytics startup, founded to solve the problem of consumer complaints in the market of High Value Purchases.", , , , , , 
Bytes.pk,https://e27.co/bytes-pk,http://www.bytes.pk/,Pakistan,"[[""Consumer"",""E-commerce"",""Hardware""]]",bytes.pk is Pakistan's largest online store dedicated to electronics. Providing maximum value to customers by providing used and refurbished electronics., , , , , , 
Ship Automation,https://e27.co/ship-automation,http://shipautomation.com/,India,,"Ship Automation is a company that Sources , Repair and Supply Marine Automation & Electrical spares at attractive prices. Our experienced team of Engineers is available for support on all west coast.", , , , , , 
Encore Products ,https://e27.co/encore-products,http://www.encoreproducts.com,United States of America,,"EnCore Products, Inc., a division of Elmer’s Products, Inc., began manufacturing foam board in 1984 under the name Hunt Corporation.", , , , , , 
TenX,https://e27.co/tenx,http://www.tenx.tech/,Singapore,"[[""Blockchain""]]",At TenX they make cryptocurrencies spendable in real life! They are the only company worldwide that offers multiple cryptocurrencies to be spent through a debit card to use anytime anywhere., , , , , , 
Tripity,https://e27.co/tripity,http://tripity.eu/,Estonia,,Private tours and entertainment - the best way to explore the world through the services of Tripity. , , , , , , 
Aspiring Minds,https://e27.co/aspiring-minds,http://www.aspiringminds.com/,India,"[[""Agency & Consulting"",""Big Data"",""Education"",""Human Resources"",""Agency & Agency & Consulting"",""Information & Communications Technology""]]","Aspiring Minds, a job-credentialing leader, delivers the world’s most widely-used employability test and the only standardized test designed for job matching. ", , , , , , 
Footfalls & Heartbeats,https://e27.co/footfalls-heartbeats,http://footfallsandheartbeats.com/,New Zealand,"[[""Enterprise Solution""]]",Footfalls & Heartbeats is a New Zealand-based company founded by award winning chemist Simon McMaster., , , , , , 
AHA Taxis,https://e27.co/aha-taxis,http://www.ahataxis.com/,India,"[[""Enterprise Solution"",""Transportation"",""Travel"",""Information & Communications Technology""]]",AHA Taxis is online booking service offering one way fares for outstation travel across India, , , , , , 
Cleartitle Properties,https://e27.co/cleartitle-properties,https://www.cleartitlerealty.com,India,,We are a team of specialists working together to satisfy every requirement of our vast clients., , , , , , 
Pioneer,https://e27.co/pioneer,https://e27.co/startups,, ,Pioneer today is two people: Daniel Gross and Rishi Narang. We're also supported by an amazing team of part-time contributors and experts., , , , , , 
RoadGods,https://e27.co/roadgods,http://www.roadgods.com/,India,"[[""E-commerce"",""Sports"",""Transportation""]]",RoadGods is the kingdom of Earth Explorers. The realm of the Rulers of tarmac and the Kings of Off-Roading., , , , , , 
LinguaNext Technologies,https://e27.co/linguanext-technologies,http://www.linguanext.net/,India,"[[""Enterprise Solution"",""Software as a Service""]]",LinguaNext Technologies is the market leader in language management platform for software applications and has transformed the way global corporations address multi-language support., , , , , , 
Vision40IITAcademy,https://e27.co/vision40iitacademy,http://www.vision40.co.in/,India,,"Best IIT Coaching in Hyderabad managed by young, dynamic and highly experienced faculty team We at Vision40, dedicated in coaching various competitive exams and offer Integrated JEE, BITSAT", , , , , , 
SafeChats,https://e27.co/safechats,http://safechats.com/,Singapore,"[[""Software as a Service"",""Information & Communications Technology""]]",SafeChats is a secure and efficient communications platform for everyone, , , , , , 
Gravicode,https://e27.co/gravicode,http://gravicode.com,Indonesia,,Cutting edge tech for enterprise, , , , , , 
Travelo.Ninja,https://e27.co/travelo-ninja,http://travelo.ninja/,India,,TravelO.Ninja  is apt travel site for you and your favourite adventure is just a click away. Grab your dream of travelling world with us., , , , , , 
Unpossible,https://e27.co/unpossible,http://www.unpossibleapp.com/,Hong Kong,"[[""Gaming""]]",Unpossible is Hong Kong startup focused on creating mobile games which make people smiles., , , , , , 
Mobile App Experts,https://e27.co/mobile-app-experts,http://www.mobileappexperts.org/,India,"[[""Mobile"",""Software as a Service"",""Agency & Consulting"",""Information & Communications Technology""]]",They are premier Mobile App development company offering wide range of solutions & services for Mobile Phones and Web based products. , , , , , , 
Reva University Bangalore,https://e27.co/reva-university-bangalore,http://www.admissioninfo.co.in/reva-university-institutes-bangalore.html,India,,"REVA University Institutes Bangalore one of finest universities provides admission through NRI Quota, Management Quota, Direct Admission, fee structure for MBA, M Tech, B E, B Tech, BBA, B Com, MCA an", , , , , , 
Bereev,https://e27.co/bereev,https://bereev.com,Malaysia,"[[""Finance"",""Insurtech"",""Software as a Service""]]","Bereev is a legacy planning app that helps you prepare for the inevitable, death.

Create a #DeathPlan on Bereev which will guide your loved ones if anything happens to you.", , , , , , 
Emitsys,https://e27.co/emitsys,http://www.Emitsys.com,Thailand,"[[""Big Data"",""E-commerce"",""Education"",""Information & Communications Technology""]]","We love to analyze content and decompose them to many pieces. Then, we classify them and re-construct the content in a better design (website re-generation, catalog presentation, document organization", , , , , , 
Lockin Company,https://e27.co/lockin-company,http://lockincomp.com/,South Korea,"[[""Cybersecurity""]]",Lockin Company has developed a security solution that protects against the leaking of source code through complex encryption., , , , , , 
Cricket Betting Tips | CBTF,https://e27.co/cricket-betting-tips-cbtf,http://samratcricketbettingtips.com/,India,,"Get Online Cricket Betting Tips, Free Cricket Betting Tips, Free Cricket Betting Tips, CBTF, IPL Betting Tips, Big Bash Betting Tips, Ram Slam Betting Tips, etc. Visit at samratcricketbettingtips.com", , , , , , 
Beam Storage Pte Ltd,https://e27.co/beam-space,https://www.beamspace.com/,Singapore,"[[""Consumer"",""Enterprise Solution""]]","BEAM is a concierge storage app providing warehousing and logistics services. No more wasted hours in warehouses, you can plan deliveries and view all stored items on the phone from the office or home", , , , , , 
ARENA LAPTOP,https://e27.co/arena-laptop,https://www.arenalaptop.com/,Indonesia,"[[""E-commerce"",""Social Enterprise""]]","Providing information about the latest laptop price, new product reviews, technology news, tips and tricks.", , , , , , 
mobiletao.org,https://e27.co/mobiletao-org,http://www.mobiletao.org/,Philippines,"[[""Mobile"",""Software as a Service"",""Information & Communications Technology""]]","mobileTAO is a mobile R&D group that empowers mobile IT professionals, serves the community, and helps build the nation thru mobile technologies.", , , , , , 
PT Printera Global Cetak,https://e27.co/printera-1,http://printera.com,Indonesia,"[[""E-commerce""]]","Printera is a printing service cater to business at any size. Whether you're a one man company or large corporation, you will love our convenience, competitive pricing, and delivery speed.", , , , , , 
Funtu Infoedge Technologies Private Limited,https://e27.co/funtu-infoedge-technologies-private-limited,http://www.travelfuntu.com,India,"[[""Travel""]]","We created Travelfuntu.com, an online travel marketplace, to connect you with travel agents who specialize in the exact vacation experience that you are looking for.", , , , , , 
RidinwithRob,https://e27.co/ridinwithrob,https://www.ridinwithrob.vegas,United States of America,,"Ridin With Rob’s car service can provide a Luxury car, a roomy SUV or whatever your heart desires, with – of course – our personal driver.", , , , , , 
Safexbikes,https://e27.co/safexbikes,http://www.safexbikes.com/,India,"[[""Automotive"",""E-commerce""]]",Safexbikes Motorcycle Superstore is the only Indian online store selling Motorcycle Parts and Accessories of almost all the models of Indian bike manufact., , , , , , 
Supernewsroom,https://e27.co/supernewsroom,http://www.supernewsroom.mobi/,Malaysia,"[[""Big Data"",""Advertising"",""Media""]]","Supernewsroom is a digital media relations platform, which contains media database in a single hub.", , , , , , 
Trebene,https://e27.co/trebene,http://www.trebene.com/,Singapore,"[[""Consumer"",""E-commerce"",""Retail""]]",Trebene is a luxury label of handcrafted scarves for the discerning woman., , , , , , 
MelissaWithLove.co,https://e27.co/melissawithlove-co,http://www.melissawithlove.co,United States of America,,Luxury beauty and personal care products handcrafted with all-natural ingredients sustainably-sourced from the USA and scented with premium essential oils., , , , , , 
Newton Circus Pte Ltd,https://e27.co/newton-circus-pte-ltd,http://newtoncircus.co/,Singapore,,Newton Circus is a social enterprise and technology company inventing communities and services that make the world a better place., , , , , , 
The Ashleys,https://e27.co/the-ashleys,http://theashleys.co.in/,India,,Our Company provides you best in class interior design services in mumbai , , , , , , 
Sunteck Realty Limited,https://e27.co/sunteck-realty-limited,http://www.sunteckindia.com/,India,"[[""Real Estate""]]","Sunteck Realty, premium property builders and developers in Mumbai offer luxurious 2 bhk, 3 bhk, 4 bhk and 5 bhk projects for the ultra- elite residential segment.", , , , , , 
Okan Inc.,https://e27.co/okan-inc,http://office.okan.jp/,Japan,"[[""Consumer"",""Food & Beverage""]]",okan Inc. provides food delivery service for corporations and individual customers., , , , , , 
A SPACE ,https://e27.co/aspace,http://aspacemanila.com,Philippines,"[[""Real Estate"",""Platform"",""Agency & Consulting"",""Information & Communications Technology""]]","A SPACE is first mover + largest community for aspirational start-ups, growing teams, new companies arriving in the Philippines. LIVE WORK GATHER GROW.", , , , , , 
NotifyVisitors,https://e27.co/notifyvisitors,https://www.notifyvisitors.com,India,,"NotifyVisitors is the simplest marketing automation software to send personalized push notifications and messages to customers. NotifyVisitors provide integration with multiple platforms
", , , , , , 
Stamp,https://e27.co/stamp,http://www.getmystamp.com/,Thailand,"[[""Hardware"",""Mobile"",""Software as a Service""]]","Stamp is a cardless loyalty program that lets businesses give special treatment to their regular customers, and lets customers keep all of their loyalty cards on their mobile phones.", , , , , , 
UMAI,https://e27.co/umai,http://www.letsumai.com,Malaysia,,UMAI is a software provider that helps restaurants to save time and increase revenues by automation and personalized service., , , , , , 
Easytune,https://e27.co/easytune,http://www.easytune.in/,Indonesia,"[[""Entertainment"",""Information & Communications Technology""]]","Easytune is an app where you can discover your music, search your all favorite songs, create playlists, share to others, and listen to them - anywhere and anytime.", , , , , , 
Rapid Tunnel Servicz,https://e27.co/rapidtunnelservicz,https://www.rapidtunnelservicz.com/,India,"[[""Agency & Consulting"",""Consulting"",""Finance"",""Food & Beverage"",""Legal""]]","Liasoning Consultant Providing Services For Gst Registration, Company Registration, Trademark registration, Fssai Food License Etc.", , , , , , 
KLIK KATA,https://e27.co/klik-kata,http://www.klikkata.com/,Indonesia,,website quotes, , , , , , 
Tik Tok,https://e27.co/tik-tok,https://www.amemv.com/,China,"[[""Entertainment"",""Social Enterprise""]]","Tik Tok is a short-video social platform powered by music. Whether it’s dance, free-style or performance, creators are encouraged to let their imagination run wild and set their expressions free.", , , , , , 
Flightsbird.com,https://e27.co/flightsbird-com,https://www.flightsbird.com/,United States of America,,"Flightsbird.com, the hybrid flight booking, and comparison website compare flights of millions of routes on more than 450 airlines to help you find cheapest airplane tickets with a single click.", , , , , , 
Bayut.com,https://e27.co/bayut-com,https://www.bayut.com/,United Arab Emirates,"[[""Advertising"",""Real Estate"",""Information & Communications Technology""]]",Bayut.com is one of the top players of the UAE online real estate market., , , , , , 
Nomster,https://e27.co/nomster,http://www.nomster.com/,Singapore,,"Vanquish your hunger with Nomster, the mobile app that celebrates the marriage between gaming and food discovery.", , , , , , 
Jasa Pembuatan Toko Online,https://e27.co/jasa-pembuatan-toko-online,http://achmadrifai.com,Indonesia,"[[""Information & Communications Technology""]]",jasa pembuatan toko online dengan harga terjangkau namun tetap dengan fitur yang sangat lengkap dan profesional ., , , , , , 
JustConnect Pte Ltd,https://e27.co/justconnect-pte-ltd,http://www.justconnect.media,Singapore,"[[""Media"",""Sports""]]",JustConnect Pte Ltd is a media and technology company that serves the active community in Asia – Pacific., , , , , , 
BS Alpha Technology USA LLC,https://e27.co/bs-alpha-technology-usa-llc,https://www.alphaott.com/,United States of America,,"The means of entertainment has changed with time. Now you don’t need to stay at home to watch your favorite channel, movies, and videos due to technological advancements. ", , , , , , 
SoVou Pte Ltd,https://e27.co/sovou-pte-ltd,http://www.sovou.com,Singapore,"[[""Advertising""]]","A Referral Marketing System designed for Offline Businesses.

We get their customers to sell for them by giving rewards for successful referrals & make it very easy for them to share online & offline!", , , , , , 
Fingerlix,https://e27.co/fingerlix,https://www.fingerlix.com/,India,"[[""Food & Beverage""]]","Fingerlix provides fresh ‘almost-ready’ food solutions like Batters, Mixes, Curries, Dals, Parathas and ‘fully-ready’ accompaniments to go with them.", , , , , , 
hyperledger,https://e27.co/hyperledger,http://www.hyperledger.com/,United States of America,"[[""Consumer"",""Information & Communications Technology""]]",The Hyper Ledger Transfer Protocol is a completely new protocol for enabling payments over the internet. From transferring money from one side of the world., , , , , , 
Xebec Digital,https://e27.co/xebec-digital,http://www.xebecdigital.com,India,"[[""Big Data"",""Advertising"",""Information & Communications Technology""]]",Xebec is one of the leading integrated Digital Marketing Agencies of India. They develop and employ the best digital marketing strategies and creative technology solutions., , , , , , 
Akadasia,https://e27.co/akadasia,http://www.akadasia.com,Singapore,"[[""Education""]]",Akadasia is a mission driven buisness that aims to disrupt the education technology services sector in Asia through its learning management platform which allows students to learn anything at anytime from anywhere in the language of their choice., , , , , , 
Ellipsonic,https://e27.co/ellipsonic,http://www.ellipsonic.com,Singapore,"[[""Enterprise Solution"",""Big Data"",""Internet of Things"",""Agency & Consulting""]]","Supporting businesses, start-ups and entrepreneurs with world class tech development.", , , , , , 
China Comservice,https://e27.co/china-comservice,http://www.chinaccsi.com/en/,Hong Kong,,Telecom infrastructure service provider, , , , , , 
Watt,https://e27.co/watt,http://www.wa-tt.com,Singapore,,"Watt digitalises events of solidarity such as marches, marathons and charity runs so that people from across the world can participate in them without having to travel to a different location.", , , , , , 
Greenbeast Corporation,https://e27.co/greenbeast-corporation,https://www.facebook.com/markanthonyvillazorda,Philippines,,, , , , , , 
"GameCoach., Inc",https://e27.co/gamecoach-inc,http://us.gamecoach.net,South Korea,"[[""Media"",""Platform""]]","We are the platform for gamers who wanna learn games, teach games, share information of games.", , , , , , 
Tour and Travel Blog,https://e27.co/tour-and-travel-blog,http://tourandtravelblog.com,India,,Tour and Travel Blog is a community tour and travel blog started by Ariana Smith in 2015 for sharing experience and knowledge of traveling and tour to the world., , , , , , 
VentureBeat,https://e27.co/venturebeat,http://venturebeat.com,United States of America,"[[""Big Data"",""Education"",""Finance"",""Advertising"",""Media"",""Information & Communications Technology""]]",VentureBeat is an online technology news platform that is engaged in technology publication and events business., , , , , , 
RideOnCab,https://e27.co/rideoncab,http://www.rideoncab.com/,India,"[[""Automotive"",""E-commerce"",""Mobile"",""Enterprise Solution"",""Software as a Service"",""Transportation"",""Information & Communications Technology""]]",Through “RideOnCab” people can book a cab by searching for the best services and prices. The app gives you access to the largest network of reliable cabs., , , , , , 
Sky Digital Agency,https://e27.co/sky-digital-agency,http://www.skydigitalagency.com,Singapore,,"We bring value to the creative industry, especially helping startups, non-profits and social enterprises build better online presence, understand about digital marketing.", , , , , , 
Digital Marketing Course Training in Chennai,https://e27.co/zuan-education,https://www.zuaneducation.com/,India,"[[""Education"",""Information & Communications Technology""]]","Zuan Education is an academic and training wing of Zuan Technologies a services firm offering design, development and online marketing solutions with clients across the globe.", , , , , , 
IdeaCracker,https://e27.co/ideacracker,http://ideacracker.com,Singapore,"[[""E-commerce""]]",Furniture crowdfunding platform with manufacturing expertise., , , , , , 
People Squared,https://e27.co/people-squared,http://www.people-squared.com/en/,China,"[[""Platform""]]",P2 startup space provides startup teams with a flexible and professional working environment comparable to that of Google's office., , , , , , 
ATEES PTE LTD,https://e27.co/atees-pte-ltd,https://www.atees.sg,Singapore,,, , , , , , 
Split 1700 Tennis,https://e27.co/split-1700-tennis,http://www.split1700tennis.com,China,,"Split 1700 Tennis is a coaching organization opened in summer 2014 in Shanghai, China. It is specialized in coaching tennis for all ages and levels: Professionals, Junior High Performance, Beginners,", , , , , , 
